2023-01-25 13:48:08 [main] INFO  com.kob.backend.BackendApplication - Started BackendApplication in 36.115 seconds (JVM running for 41.39)
2023-01-25 13:48:09 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2023-01-25 13:48:09 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2023-01-25 13:48:09 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2023-01-25 13:48:09 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2023-01-25 13:48:09 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => image
2023-01-25 13:48:09 [main] INFO  com.kob.oss.factory.OssFactory - 初始化OSS工厂
2023-01-25 13:48:09 [main] INFO  c.k.b.runner.SystemApplicationRunner - 初始化OSS配置成功
2023-01-25 13:48:12 [RMI TCP Connection(7)-192.168.93.1] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-25 14:01:27 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2023-01-25 14:01:27 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2023-01-25 14:01:27 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2023-01-25 14:01:27 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2023-01-25 14:01:48 [main] INFO  com.kob.backend.BackendApplication - Starting BackendApplication using Java 1.8.0_202 on DESKTOP-U0P6EDB with PID 8164 (E:\java2\kob\backendcloud\backend\target\classes started by A in E:\java2\kob\backendcloud)
2023-01-25 14:01:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2023-01-25 14:01:48 [main] INFO  com.kob.backend.BackendApplication - The following 1 profile is active: "dev"
2023-01-25 14:01:53 [main] INFO  com.kob.backend.config.JacksonConfig - 初始化 jackson 配置
